synset_id,lemma
oewn-00017402-n,flora
oewn-00017402-n,plant
oewn-00017402-n,plant life
oewn-00048486-n,record
oewn-00048486-n,track record
oewn-00063834-n,record
oewn-00076153-v,barf
oewn-00076153-v,be sick
oewn-00076153-v,cast
oewn-00076153-v,cat
oewn-00076153-v,chuck
oewn-00076153-v,disgorge
oewn-00076153-v,honk
oewn-00076153-v,puke
oewn-00076153-v,purge
oewn-00076153-v,regorge
oewn-00076153-v,regurgitate
oewn-00076153-v,retch
oewn-00076153-v,sick
oewn-00076153-v,spew
oewn-00076153-v,spue
oewn-00076153-v,throw up
oewn-00076153-v,upchuck
oewn-00076153-v,vomit
oewn-00076153-v,vomit up
oewn-00080057-v,doctor
oewn-00095025-v,spring
oewn-00099798-v,train
oewn-00100305-v,exercise
oewn-00100305-v,work
oewn-00100305-v,work out
oewn-00121022-n,bounce
oewn-00121022-n,bound
oewn-00121022-n,leap
oewn-00121022-n,leaping
oewn-00121022-n,saltation
oewn-00121022-n,spring
oewn-00149916-v,work
oewn-00170126-n,bank
oewn-00190414-n,run
oewn-00190414-n,tally
oewn-00261534-v,bushel
oewn-00261534-v,doctor
oewn-00261534-v,fix
oewn-00261534-v,furbish up
oewn-00261534-v,mend
oewn-00261534-v,repair
oewn-00261534-v,restore
oewn-00261534-v,touch on
oewn-00270855-a,light
oewn-00292635-v,illume
oewn-00292635-v,illuminate
oewn-00292635-v,illumine
oewn-00292635-v,light
oewn-00292635-v,light up
oewn-00294760-n,run
oewn-00294760-n,running
oewn-00309697-n,run
oewn-00309837-n,run
oewn-00333482-v,run
oewn-00333482-v,unravel
oewn-00335613-v,ladder
oewn-00335613-v,run
oewn-00362917-s,easy
oewn-00362917-s,light
oewn-00362917-s,loose
oewn-00362917-s,promiscuous
oewn-00362917-s,sluttish
oewn-00362917-s,wanton
oewn-00383235-s,rosaceous
oewn-00383235-s,rose
oewn-00383235-s,roseate
oewn-00392845-r,light
oewn-00392845-r,lightly
oewn-00409737-a,light
oewn-00409737-a,light-colored
oewn-00417926-v,equal
oewn-00417926-v,equalise
oewn-00417926-v,equalize
oewn-00417926-v,equate
oewn-00417926-v,match
oewn-00433296-n,doctor
oewn-00445584-v,melt
oewn-00445584-v,melt down
oewn-00445584-v,run
oewn-00457551-v,match
oewn-00457695-v,fit
oewn-00457695-v,match
oewn-00459426-v,ferment
oewn-00459426-v,sour
oewn-00459426-v,turn
oewn-00459426-v,work
oewn-00459709-v,ferment
oewn-00459709-v,work
oewn-00471317-v,commercialise
oewn-00471317-v,commercialize
oewn-00471317-v,market
oewn-00489366-v,doctor
oewn-00489366-v,doctor up
oewn-00489366-v,sophisticate
oewn-00505439-s,light
oewn-00518609-v,run
oewn-00540190-v,go
oewn-00540190-v,move
oewn-00540190-v,run
oewn-00550143-v,run
oewn-00559920-n,run
oewn-00559920-n,running
oewn-00559920-n,running game
oewn-00559920-n,running play
oewn-00576778-n,work
oewn-00577754-n,job
oewn-00577914-n,job
oewn-00583425-n,business
oewn-00583425-n,job
oewn-00583425-n,line
oewn-00583425-n,line of work
oewn-00583425-n,occupation
oewn-00585404-n,employment
oewn-00585404-n,work
oewn-00585806-n,job
oewn-00587299-n,berth
oewn-00587299-n,office
oewn-00587299-n,place
oewn-00587299-n,position
oewn-00587299-n,post
oewn-00587299-n,situation
oewn-00589392-v,fire
oewn-00589392-v,ignite
oewn-00589392-v,light
oewn-00599171-n,chair
oewn-00599171-n,professorship
oewn-00604200-v,prepare
oewn-00604200-v,train
oewn-00604693-v,develop
oewn-00604693-v,educate
oewn-00604693-v,prepare
oewn-00604693-v,train
oewn-00636568-v,figure out
oewn-00636568-v,lick
oewn-00636568-v,puzzle out
oewn-00636568-v,solve
oewn-00636568-v,work
oewn-00636568-v,work out
oewn-00697019-s,light
oewn-00697019-s,wakeful
oewn-00711834-v,direct
oewn-00711834-v,engineer
oewn-00711834-v,mastermind
oewn-00711834-v,orchestrate
oewn-00711834-v,organise
oewn-00711834-v,organize
oewn-00713379-v,engineer
oewn-00714537-v,bank
oewn-00714537-v,bet
oewn-00714537-v,calculate
oewn-00714537-v,count
oewn-00714537-v,depend
oewn-00714537-v,look
oewn-00714537-v,reckon
oewn-00714537-v,rely
oewn-00714537-v,swear
oewn-00715651-s,light
oewn-00720957-n,chore
oewn-00720957-n,job
oewn-00720957-n,task
oewn-00721817-n,function
oewn-00721817-n,office
oewn-00721817-n,part
oewn-00721817-n,role
oewn-00736813-v,implant
oewn-00736813-v,plant
oewn-00784446-n,caper
oewn-00784446-n,job
oewn-00792739-n,run
oewn-00792739-n,test
oewn-00792739-n,trial
oewn-00815452-v,chair
oewn-00815452-v,lead
oewn-00815452-v,moderate
oewn-00835381-v,coach
oewn-00835381-v,train
oewn-00900502-n,model
oewn-00900502-n,modeling
oewn-00900502-n,modelling
oewn-00903174-n,cat
oewn-00903174-n,computed axial tomography
oewn-00903174-n,computed tomography
oewn-00903174-n,computerized axial tomography
oewn-00903174-n,computerized tomography
oewn-00903174-n,ct
oewn-00908688-v,condemn
oewn-00908688-v,doom
oewn-00908688-v,sentence
oewn-00924838-v,read
oewn-00924838-v,record
oewn-00924838-v,register
oewn-00924838-v,show
oewn-00937859-v,spring
oewn-00967067-v,account
oewn-00967067-v,describe
oewn-00967067-v,report
oewn-00967422-v,report
oewn-00967574-v,report
oewn-00967719-v,report
oewn-00968841-v,report
oewn-00969130-v,cover
oewn-00969130-v,report
oewn-00982485-v,articulate
oewn-00982485-v,formulate
oewn-00982485-v,give voice
oewn-00982485-v,phrase
oewn-00982485-v,word
oewn-00996467-s,calorie-free
oewn-00996467-s,light
oewn-00996467-s,lite
oewn-00996467-s,low-cal
oewn-01000444-v,record
oewn-01000444-v,tape
oewn-01002259-v,enter
oewn-01002259-v,put down
oewn-01002259-v,record
oewn-01035490-n,office
oewn-01083545-v,match
oewn-01083545-v,oppose
oewn-01083545-v,pit
oewn-01083545-v,play off
oewn-01088514-v,race
oewn-01088514-v,run
oewn-01096497-v,campaign
oewn-01096497-v,run
oewn-01099197-n,market
oewn-01099197-n,market place
oewn-01099197-n,marketplace
oewn-01142291-v,bird
oewn-01142291-v,birdwatch
oewn-01146304-v,hunt
oewn-01146304-v,hunt down
oewn-01146304-v,run
oewn-01146304-v,track down
oewn-01153576-v,aim
oewn-01153576-v,direct
oewn-01153576-v,take
oewn-01153576-v,take aim
oewn-01153576-v,train
oewn-01165070-v,exploit
oewn-01165070-v,work
oewn-01177806-n,hammer
oewn-01177806-n,hammering
oewn-01177806-n,pound
oewn-01177806-n,pounding
oewn-01185958-s,light
oewn-01189951-a,light
oewn-01191729-s,light
oewn-01191772-n,condemnation
oewn-01191772-n,conviction
oewn-01191772-n,judgment of conviction
oewn-01191772-n,sentence
oewn-01193859-a,light
oewn-01194536-a,light
oewn-01194991-a,light
oewn-01195419-a,light
oewn-01195936-s,light
oewn-01195936-s,lightsome
oewn-01195936-s,tripping
oewn-01196589-a,light
oewn-01202519-v,fire up
oewn-01202519-v,light
oewn-01202519-v,light up
oewn-01214794-v,draw
oewn-01214794-v,guide
oewn-01214794-v,pass
oewn-01214794-v,run
oewn-01237357-v,bank
oewn-01237919-v,knead
oewn-01237919-v,work
oewn-01295488-v,couple
oewn-01295488-v,match
oewn-01295488-v,mate
oewn-01295488-v,pair
oewn-01295488-v,twin
oewn-01295992-v,match
oewn-01373866-v,plant
oewn-01414524-v,cat
oewn-01419193-v,hammer
oewn-01456580-v,trail
oewn-01456580-v,train
oewn-01500681-s,meaning
oewn-01500681-s,pregnant
oewn-01500681-s,significant
oewn-01505702-n,bird
oewn-01528454-v,function
oewn-01528454-v,go
oewn-01528454-v,operate
oewn-01528454-v,run
oewn-01528454-v,work
oewn-01529078-v,run
oewn-01531609-v,embed
oewn-01531609-v,engraft
oewn-01531609-v,imbed
oewn-01531609-v,implant
oewn-01531609-v,plant
oewn-01544013-v,work
oewn-01570056-v,plant
oewn-01570056-v,set
oewn-01590626-v,bank
oewn-01627004-v,machine
oewn-01627206-v,machine
oewn-01632781-v,bring
oewn-01632781-v,make for
oewn-01632781-v,play
oewn-01632781-v,work
oewn-01632781-v,wreak
oewn-01645087-v,run
oewn-01650771-v,constitute
oewn-01650771-v,establish
oewn-01650771-v,found
oewn-01650771-v,institute
oewn-01650771-v,plant
oewn-01663142-v,forge
oewn-01663142-v,form
oewn-01663142-v,mold
oewn-01663142-v,mould
oewn-01663142-v,shape
oewn-01663142-v,work
oewn-01672498-v,process
oewn-01672498-v,work
oewn-01672498-v,work on
oewn-01679140-v,forge
oewn-01679140-v,hammer
oewn-01696338-v,letter
oewn-01696474-v,letter
oewn-01700922-v,model
oewn-01700922-v,mold
oewn-01700922-v,mould
oewn-01701301-v,mock up
oewn-01701301-v,model
oewn-01721028-v,play
oewn-01721028-v,run
oewn-01726857-v,model
oewn-01726857-v,simulate
oewn-01745327-v,crop
oewn-01745327-v,cultivate
oewn-01745327-v,work
oewn-01747665-v,model
oewn-01747665-v,pattern
oewn-01749344-v,table
oewn-01749344-v,tabularise
oewn-01749344-v,tabularize
oewn-01749344-v,tabulate
oewn-01750167-v,carry
oewn-01750167-v,run
oewn-01821541-v,work
oewn-01856435-v,work
oewn-01868024-v,ply
oewn-01868024-v,run
oewn-01896097-v,bounce
oewn-01896097-v,bound
oewn-01896097-v,rebound
oewn-01896097-v,recoil
oewn-01896097-v,resile
oewn-01896097-v,reverberate
oewn-01896097-v,ricochet
oewn-01896097-v,spring
oewn-01896097-v,take a hop
oewn-01912661-s,clean
oewn-01912661-s,clear
oewn-01912661-s,light
oewn-01912661-s,unclouded
oewn-01918940-v,run
oewn-01930264-v,run
oewn-01930937-v,run
oewn-01931400-v,run
oewn-01931700-v,consort
oewn-01931700-v,run
oewn-01931856-v,run
oewn-01940396-v,rail
oewn-01940396-v,train
oewn-01962311-v,dismount
oewn-01962311-v,get down
oewn-01962311-v,get off
oewn-01962311-v,light
oewn-01962311-v,unhorse
oewn-01965341-v,school
oewn-01967949-v,bound
oewn-01967949-v,jump
oewn-01967949-v,leap
oewn-01967949-v,spring
oewn-01982714-v,alight
oewn-01982714-v,light
oewn-01982714-v,perch
oewn-02005890-v,chase
oewn-02005890-v,chase after
oewn-02005890-v,dog
oewn-02005890-v,give chase
oewn-02005890-v,go after
oewn-02005890-v,tag
oewn-02005890-v,tail
oewn-02005890-v,track
oewn-02005890-v,trail
oewn-02043258-v,bank
oewn-02054955-v,make
oewn-02054955-v,work
oewn-02064720-v,bleed
oewn-02064720-v,run
oewn-02070867-v,course
oewn-02070867-v,feed
oewn-02070867-v,flow
oewn-02070867-v,run
oewn-02079296-v,break away
oewn-02079296-v,bunk
oewn-02079296-v,escape
oewn-02079296-v,fly the coop
oewn-02079296-v,head for the hills
oewn-02079296-v,hightail it
oewn-02079296-v,lam
oewn-02079296-v,run
oewn-02079296-v,run away
oewn-02079296-v,scarper
oewn-02079296-v,scat
oewn-02079296-v,take to the woods
oewn-02079296-v,turn tail
oewn-02086723-n,canis familiaris
oewn-02086723-n,dog
oewn-02086723-n,domestic dog
oewn-02096576-v,run
oewn-02104107-v,run
oewn-02110264-v,record
oewn-02110264-v,register
oewn-02121463-v,work
oewn-02124272-n,cat
oewn-02124272-n,true cat
